****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_0
Version: Q-2019.12-SP1
Date   : Thu Aug 29 17:42:40 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
--------------------------------------------------------------------------------
clknet_0_clk                1.80    0.221    0.244    0.0005   1.743e-07  a
clknet_4_0_0_clk            1.80    0.103    0.244    0.0005   8.136e-08  a
clknet_4_2_0_clk            1.80    0.094    0.244    0.0005   7.421e-08  a
clknet_4_14_0_clk           1.80    0.088    0.244    0.0005   6.952e-08  a
net1002                     1.80    0.129    0.630    0.0003   6.461e-08  a
clknet_4_4_0_clk            1.80    0.076    0.244    0.0005   5.965e-08  a
clknet_4_1_0_clk            1.80    0.073    0.244    0.0005   5.741e-08  a
clknet_4_15_0_clk           1.80    0.072    0.244    0.0005   5.715e-08  a
clknet_4_13_0_clk           1.80    0.072    0.244    0.0005   5.692e-08  a
net999                      1.80    0.070    0.542    0.0005   5.649e-08  a
net989                      1.80    0.076    0.583    0.0004   5.434e-08  a
net988                      1.80    0.117    0.579    0.0003   5.173e-08  a
clknet_4_3_0_clk            1.80    0.063    0.244    0.0005   5.007e-08  a
clknet_4_9_0_clk            1.80    0.063    0.244    0.0005   4.945e-08  a
net980                      1.80    0.093    0.667    0.0003   4.856e-08  a
net1045                     1.80    0.149    0.504    0.0002   4.657e-08  a
clknet_4_7_0_clk            1.80    0.057    0.244    0.0005   4.472e-08  a
clknet_4_12_0_clk           1.80    0.057    0.244    0.0005   4.471e-08  a
net106                      1.80    0.075    0.533    0.0003   3.986e-08  a
clknet_4_5_0_clk            1.80    0.050    0.244    0.0005   3.957e-08  a
clknet_4_11_0_clk           1.80    0.050    0.244    0.0005   3.937e-08  a
net1005                     1.80    0.116    0.612    0.0002   3.839e-08  a
net995                      1.80    0.086    0.414    0.0003   3.774e-08  a
clknet_4_6_0_clk            1.80    0.046    0.244    0.0005   3.665e-08  a
net80                       1.80    0.072    0.694    0.0003   3.634e-08  a
net74                       1.80    0.071    0.618    0.0003   3.413e-08  a
net1036                     1.80    0.106    0.548    0.0002   3.279e-08  a
net990                      1.80    0.081    0.848    0.0002   3.216e-08  a
net997                      1.80    0.112    0.472    0.0002   3.184e-08  a
net1040                     1.80    0.090    0.503    0.0002   3.059e-08  a
net994                      1.80    0.065    0.608    0.0003   3.012e-08  a
net889                      1.80    0.115    0.488    0.0002   2.993e-08  a
net996                      1.80    0.079    0.583    0.0002   2.891e-08  a
clknet_4_8_0_clk            1.80    0.036    0.244    0.0005   2.843e-08  a
net69                       1.80    0.080    0.549    0.0002   2.718e-08  a
