****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_0
Version: Q-2019.12-SP1
Date   : Fri Aug 30 01:43:09 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
--------------------------------------------------------------------------------
clknet_0_clk                1.80    0.217    0.266    0.0005   1.868e-07  a
clknet_4_0_0_clk            1.80    0.108    0.266    0.0005   9.312e-08  a
clknet_4_14_0_clk           1.80    0.100    0.266    0.0005   8.640e-08  a
clknet_4_2_0_clk            1.80    0.097    0.266    0.0005   8.394e-08  a
clknet_4_1_0_clk            1.80    0.071    0.266    0.0005   6.153e-08  a
clknet_4_13_0_clk           1.80    0.069    0.266    0.0005   5.924e-08  a
clknet_4_7_0_clk            1.80    0.068    0.266    0.0005   5.851e-08  a
clknet_4_4_0_clk            1.80    0.067    0.266    0.0005   5.821e-08  a
clknet_4_12_0_clk           1.80    0.063    0.266    0.0005   5.441e-08  a
clknet_4_15_0_clk           1.80    0.060    0.266    0.0005   5.142e-08  a
clknet_4_5_0_clk            1.80    0.056    0.266    0.0005   4.870e-08  a
clknet_4_11_0_clk           1.80    0.056    0.266    0.0005   4.828e-08  a
clknet_4_9_0_clk            1.80    0.055    0.266    0.0005   4.755e-08  a
net1042                     1.80    0.114    0.469    0.0002   4.348e-08  a
clknet_4_6_0_clk            1.80    0.048    0.266    0.0005   4.160e-08  a
clknet_4_3_0_clk            1.80    0.044    0.266    0.0005   3.837e-08  a
net896                      1.80    0.118    0.523    0.0002   3.812e-08  a
net908                      1.80    0.111    0.506    0.0002   3.588e-08  a
net980                      1.80    0.085    0.458    0.0003   3.472e-08  a
net1041                     1.80    0.129    0.504    0.0002   3.369e-08  a
clknet_4_8_0_clk            1.80    0.038    0.266    0.0005   3.311e-08  a
net882                      1.80    0.131    0.472    0.0001   2.846e-08  a
net989                      1.80    0.072    0.427    0.0002   2.675e-08  a
net878                      1.80    0.068    0.539    0.0002   2.627e-08  a
clknet_4_10_0_clk           1.80    0.029    0.266    0.0005   2.470e-08  a
net891                      1.80    0.063    0.469    0.0002   2.401e-08  a
net106                      1.80    0.075    0.809    0.0002   2.297e-08  a
net1002                     1.80    0.129    0.558    0.0001   2.252e-08  a
net209                      1.80    0.050    0.458    0.0003   2.047e-08  a
net866                      1.80    0.050    0.497    0.0002   1.838e-08  a
net876                      1.80    0.062    0.505    0.0002   1.825e-08  a
net1051                     1.80    0.094    0.493    0.0001   1.779e-08  a
net1037                     1.80    0.109    0.501    0.91e-4  1.600e-08  a
net1035                     1.80    0.101    0.467    0.95e-4  1.549e-08  a
net1046                     1.80    0.079    0.493    0.0001   1.494e-08  a
net0                        1.80    0.043    0.477    0.0002   1.482e-08  a
net1045                     1.80    0.126    0.535    0.69e-4  1.405e-08  a
net913                      1.80    0.089    0.506    0.96e-4  1.385e-08  a
net1047                     1.80    0.071    0.493    0.0001   1.344e-08  a
net112                      1.80    0.063    0.218    0.0001   1.333e-08  a
net999                      1.80    0.066    0.511    0.0001   1.294e-08  a
net221                      1.80    0.053    0.708    0.0002   1.283e-08  a
net1049                     1.80    0.067    0.493    0.0001   1.278e-08  a
net1050                     1.80    0.067    0.493    0.0001   1.278e-08  a
net1039                     1.80    0.088    0.404    0.88e-4  1.267e-08  a
net906                      1.80    0.035    0.499    0.0002   1.224e-08  a
net3                        1.80    0.049    0.582    0.0002   1.201e-08  a
net884                      1.80    0.030    0.510    0.0002   1.119e-08  a
net909                      1.80    0.032    0.551    0.0002   1.059e-08  a
net894                      1.80    0.040    0.504    0.0002   1.059e-08  a
net77                       1.80    0.060    0.558    0.0001   1.050e-08  a
net990                      1.80    0.077    0.842    0.84e-4  1.048e-08  a
net80                       1.80    0.082    0.862    0.79e-4  1.047e-08  a
clknet_1_0__leaf_net946     1.80    0.068    0.164    0.92e-4  1.007e-08  a
net880                      1.80    0.052    0.474    0.0001   9.990e-09  a
net207                      1.80    0.027    0.427    0.0002   9.775e-09  a
net204                      1.80    0.026    0.427    0.0002   9.703e-09  a
net329                      1.80    0.072    0.000    0.80e-4  9.367e-09  a
net1048                     1.80    0.049    0.493    0.0001   9.287e-09  a
net1083                     1.80    0.048    0.493    0.0001   9.057e-09  a
net21                       1.80    0.056    0.106    0.99e-4  8.968e-09  a
net897                      1.80    0.034    0.529    0.0002   8.939e-09  a
net1110                     1.80    0.051    0.558    0.0001   8.939e-09  a
net994                      1.80    0.062    0.000    0.89e-4  8.915e-09  a
net872                      1.80    0.080    0.535    0.69e-4  8.886e-09  a
net201                      1.80    0.024    0.427    0.0002   8.862e-09  a
net1019                     1.80    0.064    0.842    0.85e-4  8.845e-09  a
net315                      1.80    0.061    0.592    0.88e-4  8.679e-09  a
net1                        1.80    0.025    0.449    0.0002   8.620e-09  a
net1043                     1.80    0.088    0.505    0.59e-4  8.568e-09  a
clknet_1_1__leaf_net946     1.80    0.058    0.164    0.92e-4  8.551e-09  a
net1044                     1.80    0.154    0.519    0.33e-4  8.476e-09  a
net1003                     1.80    0.115    0.823    0.45e-4  8.452e-09  a
net1040                     1.80    0.057    0.404    0.88e-4  8.219e-09  a
net101                      1.80    0.021    0.368    0.0002   8.211e-09  a
net889                      1.80    0.125    0.410    0.39e-4  8.114e-09  a
net943                      1.80    0.080    0.214    0.61e-4  7.910e-09  a
net119                      1.80    0.066    0.215    0.72e-4  7.733e-09  a
net208                      1.80    0.037    0.474    0.0001   7.658e-09  a
net1038                     1.80    0.048    0.501    0.91e-4  7.103e-09  a
net1072                     1.80    0.051    0.842    0.84e-4  6.957e-09  a
net85                       1.80    0.075    0.157    0.56e-4  6.834e-09  a
net1086                     1.80    0.036    0.493    0.0001   6.825e-09  a
net205                      1.80    0.018    0.427    0.0002   6.675e-09  a
net861                      1.80    0.048    0.525    0.86e-4  6.636e-09  a
net70                       1.80    0.047    0.842    0.85e-4  6.525e-09  a
net877                      1.80    0.017    0.512    0.0002   6.378e-09  a
net90                       1.80    0.053    0.871    0.74e-4  6.319e-09  a
net991                      1.80    0.046    0.842    0.84e-4  6.297e-09  a
net217                      1.80    0.055    0.362    0.70e-4  6.280e-09  a
net232                      1.80    0.039    0.570    0.99e-4  6.238e-09  a
net69                       1.80    0.104    0.074    0.37e-4  6.218e-09  a
net1114                     1.80    0.045    0.842    0.84e-4  6.169e-09  a
net986                      1.80    0.069    0.000    0.53e-4  5.977e-09  a
net121                      1.80    0.020    0.379    0.0002   5.946e-09  a
net128                      1.80    0.037    0.374    0.99e-4  5.851e-09  a
net6                        1.80    0.018    0.214    0.0002   5.842e-09  a
net68                       1.80    0.062    0.157    0.58e-4  5.803e-09  a
net1079                     1.80    0.047    0.871    0.74e-4  5.677e-09  a
net1031                     1.80    0.071    0.941    0.49e-4  5.610e-09  a
net8                        1.80    0.018    0.238    0.0002   5.598e-09  a
net996                      1.80    0.046    0.871    0.74e-4  5.563e-09  a
net15                       1.80    0.022    0.803    0.0002   5.509e-09  a
net879                      1.80    0.053    0.527    0.63e-4  5.394e-09  a
net982                      1.80    0.060    0.000    0.53e-4  5.224e-09  a
net1007                     1.80    0.057    0.909    0.56e-4  5.124e-09  a
net94                       1.80    0.021    0.678    0.0001   4.983e-09  a
net7                        1.80    0.063    0.903    0.48e-4  4.980e-09  a
net317                      1.80    0.037    0.000    0.84e-4  4.962e-09  a
net875                      1.80    0.020    0.480    0.0001   4.873e-09  a
net886                      1.80    0.032    0.479    0.93e-4  4.846e-09  a
net74                       1.80    0.083    0.074    0.36e-4  4.809e-09  a
net1113                     1.80    0.052    0.157    0.56e-4  4.738e-09  a
net419                      1.80    0.054    0.000    0.53e-4  4.669e-09  a
net883                      1.80    0.016    0.488    0.0002   4.659e-09  a
net918                      1.80    0.030    0.467    0.95e-4  4.546e-09  a
net907                      1.80    0.013    0.472    0.0002   4.537e-09  a
net200                      1.80    0.033    0.842    0.84e-4  4.425e-09  a
net914                      1.80    0.011    0.528    0.0002   4.393e-09  a
net902                      1.80    0.012    0.518    0.0002   4.348e-09  a
net4                        1.80    0.049    0.110    0.55e-4  4.345e-09  a
net920                      1.80    0.028    0.487    0.95e-4  4.338e-09  a
net206                      1.80    0.017    0.241    0.0002   4.333e-09  a
net20                       1.80    0.028    0.406    0.94e-4  4.306e-09  a
net2                        1.80    0.013    0.512    0.0002   4.269e-09  a
net885                      1.80    0.077    0.519    0.33e-4  4.246e-09  a
net117                      1.80    0.019    0.233    0.0001   4.195e-09  a
net123                      1.80    0.026    0.098    0.98e-4  4.175e-09  a
net873                      1.80    0.013    0.532    0.0002   4.144e-09  a
net71                       1.80    0.029    0.124    0.87e-4  4.053e-09  a
net887                      1.80    0.013    0.516    0.0002   4.028e-09  a
net869                      1.80    0.012    0.462    0.0002   4.007e-09  a
net995                      1.80    0.088    0.000    0.28e-4  3.985e-09  a
net1006                     1.80    0.043    0.909    0.56e-4  3.906e-09  a
net228                      1.80    0.071    0.000    0.33e-4  3.866e-09  a
net1036                     1.80    0.025    0.467    0.95e-4  3.840e-09  a
net1085                     1.80    0.028    0.842    0.84e-4  3.836e-09  a
net1018                     1.80    0.028    0.842    0.85e-4  3.833e-09  a
net440                      1.80    0.014    0.744    0.0002   3.793e-09  a
net79                       1.80    0.020    0.743    0.0001   3.779e-09  a
clknet_1_0__leaf_net331     1.80    0.028    0.000    0.84e-4  3.742e-09  a
net441                      1.80    0.029    0.744    0.79e-4  3.691e-09  a
net903                      1.80    0.025    0.501    0.91e-4  3.683e-09  a
net95                       1.80    0.015    0.711    0.0001   3.670e-09  a
net1112                     1.80    0.040    0.909    0.56e-4  3.631e-09  a
net1104                     1.80    0.030    0.871    0.74e-4  3.614e-09  a
net75                       1.80    0.023    0.746    0.95e-4  3.612e-09  a
net1065                     1.80    0.015    0.711    0.0001   3.595e-09  a
clknet_0_net946             1.80    0.024    0.164    0.92e-4  3.566e-09  a
net312                      1.80    0.024    0.000    0.89e-4  3.495e-09  a
net895                      1.80    0.012    0.464    0.0002   3.487e-09  a
net900                      1.80    0.032    0.476    0.66e-4  3.476e-09  a
net892                      1.80    0.013    0.499    0.0002   3.471e-09  a
net203                      1.80    0.025    0.842    0.84e-4  3.430e-09  a
net1082                     1.80    0.038    0.157    0.56e-4  3.421e-09  a
net130                      1.80    0.055    0.071    0.39e-4  3.415e-09  a
net92                       1.80    0.075    0.979    0.28e-4  3.398e-09  a
net867                      1.80    0.009    0.495    0.0002   3.362e-09  a
net1080                     1.80    0.037    0.909    0.56e-4  3.341e-09  a
net1034                     1.80    0.137    0.608    0.15e-4  3.336e-09  a
net975                      1.80    0.070    0.000    0.29e-4  3.273e-09  a
net38                       1.80    0.027    0.246    0.73e-4  3.231e-09  a
net241                      1.80    0.018    0.000    0.0001   3.230e-09  a
net912                      1.80    0.012    0.523    0.0002   3.116e-09  a
net10                       1.80    0.035    0.055    0.54e-4  3.088e-09  a
net868                      1.80    0.027    0.521    0.68e-4  2.956e-09  a
net124                      1.80    0.054    0.524    0.34e-4  2.938e-09  a
clknet_1_1__leaf_net483     1.80    0.027    0.215    0.66e-4  2.932e-09  a
net133                      1.80    0.015    0.493    0.0001   2.886e-09  a
net102                      1.80    0.010    0.635    0.0002   2.860e-09  a
net140                      1.80    0.073    0.903    0.24e-4  2.853e-09  a
net998                      1.80    0.078    0.019    0.22e-4  2.767e-09  a
net554                      1.80    0.029    0.493    0.58e-4  2.735e-09  a
clknet_1_0__leaf_net483     1.80    0.025    0.215    0.66e-4  2.648e-09  a
net997                      1.80    0.096    0.018    0.17e-4  2.647e-09  a
net1084                     1.80    0.029    0.909    0.56e-4  2.641e-09  a
net1033                     1.80    0.028    0.157    0.58e-4  2.587e-09  a
clknet_0_net331             1.80    0.019    0.000    0.84e-4  2.565e-09  a
net946                      1.80    0.017    0.164    0.92e-4  2.537e-09  a
net230                      1.80    0.014    0.861    0.0001   2.536e-09  a
net73                       1.80    0.037    0.964    0.42e-4  2.495e-09  a
net258                      1.80    0.012    0.458    0.0001   2.483e-09  a
net199                      1.80    0.018    0.842    0.84e-4  2.483e-09  a
clknet_1_0__leaf_net959     1.80    0.058    0.000    0.26e-4  2.458e-09  a
net442                      1.80    0.013    0.000    0.0001   2.422e-09  a
clknet_1_1__leaf_net959     1.80    0.057    0.000    0.26e-4  2.404e-09  a
clknet_0_net483             1.80    0.022    0.215    0.66e-4  2.333e-09  a
net911                      1.80    0.014    0.532    0.99e-4  2.297e-09  a
clknet_1_1__leaf_net331     1.80    0.017    0.000    0.84e-4  2.297e-09  a
net1075                     1.80    0.017    0.842    0.84e-4  2.270e-09  a
net420                      1.80    0.020    0.000    0.69e-4  2.248e-09  a
net222                      1.80    0.048    0.000    0.29e-4  2.237e-09  a
net26                       1.80    0.009    0.246    0.0001   2.213e-09  a
net198                      1.80    0.016    0.842    0.84e-4  2.204e-09  a
net331                      1.80    0.016    0.000    0.84e-4  2.181e-09  a
net987                      1.80    0.025    0.000    0.53e-4  2.165e-09  a
net314                      1.80    0.011    0.650    0.0001   2.140e-09  a
net91                       1.80    0.015    0.791    0.89e-4  2.125e-09  a
net240                      1.80    0.018    0.566    0.73e-4  2.121e-09  a
net72                       1.80    0.023    0.909    0.56e-4  2.121e-09  a
net418                      1.80    0.026    0.000    0.50e-4  2.101e-09  a
net870                      1.80    0.012    0.517    0.0001   2.080e-09  a
net874                      1.80    0.010    0.577    0.0001   2.013e-09  a
net23                       1.80    0.022    0.051    0.55e-4  1.948e-09  a
net210                      1.80    0.004    0.862    0.0003   1.942e-09  a
net905                      1.80    0.006    0.520    0.0002   1.940e-09  a
net84                       1.80    0.035    0.969    0.34e-4  1.936e-09  a
net139                      1.80    0.006    0.132    0.0002   1.928e-09  a
net634                      1.80    0.010    0.331    0.0001   1.913e-09  a
net116                      1.80    0.021    0.804    0.56e-4  1.905e-09  a
net483                      1.80    0.018    0.215    0.66e-4  1.894e-09  a
net323                      1.80    0.005    0.303    0.0002   1.852e-09  a
net917                      1.80    0.007    0.511    0.0002   1.845e-09  a
net12                       1.80    0.066    0.979    0.17e-4  1.821e-09  a
net862                      1.80    0.022    0.536    0.49e-4  1.799e-09  a
net105                      1.80    0.016    0.777    0.70e-4  1.792e-09  a
net893                      1.80    0.022    0.557    0.50e-4  1.786e-09  a
net865                      1.80    0.073    0.608    0.15e-4  1.776e-09  a
net647                      1.80    0.006    0.132    0.0002   1.772e-09  a
net899                      1.80    0.013    0.469    0.79e-4  1.726e-09  a
net231                      1.80    0.019    0.000    0.57e-4  1.726e-09  a
net530                      1.80    0.012    0.000    0.89e-4  1.708e-09  a
clknet_1_0__leaf_net177     1.80    0.019    0.048    0.54e-4  1.697e-09  a
net83                       1.80    0.034    0.960    0.31e-4  1.686e-09  a
clknet_0_net177             1.80    0.019    0.048    0.54e-4  1.679e-09  a
net93                       1.80    0.022    0.940    0.46e-4  1.668e-09  a
net916                      1.80    0.029    0.552    0.35e-4  1.662e-09  a
net131                      1.80    0.027    0.069    0.39e-4  1.662e-09  a
net310                      1.80    0.036    0.000    0.28e-4  1.646e-09  a
net17                       1.80    0.046    0.019    0.22e-4  1.642e-09  a
net197                      1.80    0.018    0.941    0.54e-4  1.615e-09  a
net910                      1.80    0.012    0.452    0.77e-4  1.565e-09  a
net535                      1.80    0.011    0.000    0.89e-4  1.563e-09  a
net135                      1.80    0.005    0.531    0.0002   1.537e-09  a
net103                      1.80    0.007    0.561    0.0001   1.535e-09  a
net446                      1.80    0.008    0.000    0.0001   1.521e-09  a
net443                      1.80    0.027    0.535    0.34e-4  1.509e-09  a
net115                      1.80    0.020    0.823    0.45e-4  1.505e-09  a
net248                      1.80    0.007    0.373    0.0001   1.501e-09  a
net5                        1.80    0.019    0.941    0.49e-4  1.470e-09  a
net1069                     1.80    0.006    0.678    0.0001   1.462e-09  a
clknet_1_0__leaf_net330     1.80    0.031    0.000    0.29e-4  1.456e-09  a
net78                       1.80    0.059    0.985    0.15e-4  1.442e-09  a
net890                      1.80    0.015    0.505    0.59e-4  1.408e-09  a
net1005                     1.80    0.109    0.993    0.80e-5  1.407e-09  a
net915                      1.80    0.013    0.509    0.66e-4  1.359e-09  a
net202                      1.80    0.030    0.968    0.28e-4  1.354e-09  a
net226                      1.80    0.003    0.459    0.0003   1.318e-09  a
net529                      1.80    0.009    0.000    0.89e-4  1.306e-09  a
net863                      1.80    0.004    0.504    0.0002   1.293e-09  a
clknet_1_1__leaf_net177     1.80    0.015    0.048    0.54e-4  1.280e-09  a
net1071                     1.80    0.072    0.985    0.11e-4  1.277e-09  a
net1078                     1.80    0.014    0.909    0.56e-4  1.267e-09  a
net41                       1.80    0.011    0.246    0.73e-4  1.266e-09  a
net546                      1.80    0.013    0.493    0.58e-4  1.222e-09  a
net864                      1.80    0.012    0.519    0.59e-4  1.199e-09  a
net196                      1.80    0.006    0.511    0.0001   1.176e-09  a
net324                      1.80    0.026    0.584    0.27e-4  1.149e-09  a
net223                      1.80    0.017    0.963    0.42e-4  1.148e-09  a
net311                      1.80    0.012    0.000    0.60e-4  1.132e-09  a
net898                      1.80    0.005    0.464    0.0001   1.098e-09  a
net1105                     1.80    0.045    0.985    0.15e-4  1.090e-09  a
net16                       1.80    0.012    0.898    0.57e-4  1.087e-09  a
net320                      1.80    0.012    0.000    0.53e-4  1.041e-09  a
net88                       1.80    0.030    0.971    0.21e-4  1.035e-09  a
net97                       1.80    0.078    0.993    0.80e-5  1.012e-09  a
clknet_0_net67              1.80    0.020    0.180    0.30e-4  9.890e-10  a
net531                      1.80    0.011    0.000    0.53e-4  9.847e-10  a
net1076                     1.80    0.040    0.985    0.15e-4  9.776e-10  a
net904                      1.80    0.005    0.453    0.0001   9.723e-10  a
clknet_0_net145             1.80    0.019    0.053    0.32e-4  9.715e-10  a
clknet_0_net330             1.80    0.020    0.000    0.29e-4  9.546e-10  a
net9                        1.80    0.011    0.055    0.55e-4  9.511e-10  a
net42                       1.80    0.006    0.722    0.92e-4  9.429e-10  a
net988                      1.80    0.116    0.999    0.50e-5  9.351e-10  a
net1066                     1.80    0.004    0.711    0.0001   9.239e-10  a
net1067                     1.80    0.004    0.711    0.0001   9.234e-10  a
net959                      1.80    0.022    0.000    0.26e-4  9.075e-10  a
net871                      1.80    0.009    0.484    0.64e-4  9.038e-10  a
net129                      1.80    0.028    0.042    0.20e-4  8.879e-10  a
clknet_0_net56              1.80    0.023    0.000    0.24e-4  8.800e-10  a
net18                       1.80    0.029    0.018    0.18e-4  8.423e-10  a
net127                      1.80    0.027    0.043    0.20e-4  8.366e-10  a
net921                      1.80    0.010    0.475    0.52e-4  8.343e-10  a
net548                      1.80    0.005    0.523    1.00e-4  8.012e-10  a
net901                      1.80    0.006    0.404    0.88e-4  7.951e-10  a
net177                      1.80    0.009    0.048    0.54e-4  7.917e-10  a
clknet_0_net54              1.80    0.020    0.941    0.24e-4  7.911e-10  a
net1106                     1.80    0.007    0.777    0.70e-4  7.741e-10  a
clknet_0_net959             1.80    0.018    0.000    0.26e-4  7.687e-10  a
net888                      1.80    0.002    0.478    0.0002   7.488e-10  a
clknet_0_net369             1.80    0.021    0.403    0.22e-4  7.452e-10  a
net164                      1.80    0.005    0.695    0.93e-4  7.246e-10  a
net108                      1.80    0.003    0.851    0.0001   7.110e-10  a
net100                      1.80    0.009    0.953    0.49e-4  7.051e-10  a
net330                      1.80    0.015    0.000    0.29e-4  6.897e-10  a
clknet_0_net965             1.80    0.017    0.941    0.24e-4  6.827e-10  a
net150                      1.80    0.016    0.049    0.27e-4  6.747e-10  a
clknet_1_1__leaf_net330     1.80    0.014    0.000    0.29e-4  6.747e-10  a
net1004                     1.80    0.027    0.985    0.15e-4  6.546e-10  a
net316                      1.80    0.017    0.000    0.24e-4  6.526e-10  a
net564                      1.80    0.006    0.400    0.71e-4  6.357e-10  a
net272                      1.80    0.012    0.057    0.32e-4  6.355e-10  a
net1115                     1.80    0.005    0.842    0.84e-4  6.323e-10  a
net358                      1.80    0.006    0.000    0.64e-4  6.308e-10  a
net263                      1.80    0.005    0.639    0.84e-4  6.294e-10  a
net145                      1.80    0.012    0.053    0.32e-4  6.249e-10  a
net637                      1.80    0.004    0.628    0.95e-4  6.067e-10  a
net1001                     1.80    0.034    0.985    0.11e-4  5.970e-10  a
net1107                     1.80    0.005    0.777    0.70e-4  5.928e-10  a
net1074                     1.80    0.004    0.842    0.84e-4  5.892e-10  a
net965                      1.80    0.015    0.941    0.24e-4  5.835e-10  a
net321                      1.80    0.065    0.985    0.57e-5  5.807e-10  a
net356                      1.80    0.005    0.750    0.77e-4  5.803e-10  a
clknet_1_0__leaf_net965     1.80    0.014    0.941    0.24e-4  5.589e-10  a
net27                       1.80    0.006    0.070    0.55e-4  5.448e-10  a
net366                      1.80    0.006    0.493    0.58e-4  5.409e-10  a
net25                       1.80    0.007    0.037    0.45e-4  5.373e-10  a
net318                      1.80    0.006    0.000    0.53e-4  5.260e-10  a
net445                      1.80    0.008    0.774    0.42e-4  5.179e-10  a
net111                      1.80    0.003    0.854    0.0001   5.169e-10  a
net336                      1.80    0.003    0.131    0.0001   5.146e-10  a
net355                      1.80    0.003    0.000    0.94e-4  5.120e-10  a
net304                      1.80    0.007    0.067    0.46e-4  5.093e-10  a
net993                      1.80    0.052    0.986    0.60e-5  5.061e-10  a
net96                       1.80    0.044    0.997    0.70e-5  4.952e-10  a
net679                      1.80    0.008    0.085    0.38e-4  4.895e-10  a
net919                      1.80    0.009    0.423    0.33e-4  4.859e-10  a
net67                       1.80    0.010    0.180    0.30e-4  4.741e-10  a
net526                      1.80    0.005    0.000    0.53e-4  4.666e-10  a
net37                       1.80    0.009    0.865    0.32e-4  4.618e-10  a
