****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_1
Version: Q-2019.12-SP1
Date   : Wed Aug 28 21:47:45 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
--------------------------------------------------------------------------------
net1002                     1.80    0.126    0.700    0.0003   8.174e-08  a
net1041                     1.80    0.128    0.400    0.0002   4.155e-08  a
net999                      1.80    0.063    0.500    0.0003   4.091e-08  a
net77                       1.80    0.060    0.700    0.0003   3.858e-08  a
net896                      1.80    0.118    0.400    0.0001   3.810e-08  a
net908                      1.80    0.112    0.300    0.0001   3.639e-08  a
net69                       1.80    0.106    0.300    0.0001   3.446e-08  a
net1110                     1.80    0.050    0.700    0.0003   3.225e-08  a
net1043                     1.80    0.088    0.700    0.0001   2.845e-08  a
net980                      1.80    0.084    0.700    0.0001   2.707e-08  a
net74                       1.80    0.080    0.300    0.0001   2.599e-08  a
net85                       1.80    0.076    0.300    0.0001   2.469e-08  a
net208                      1.80    0.037    0.500    0.0003   2.413e-08  a
net1044                     1.80    0.149    0.400    0.50e-4  2.403e-08  a
net329                      1.80    0.074    0.000    0.0002   2.380e-08  a
net1045                     1.80    0.129    0.300    1.00e-4  2.093e-08  a
net68                       1.80    0.064    0.300    0.0001   2.083e-08  a
net994                      1.80    0.063    0.000    0.0002   2.026e-08  a
net315                      1.80    0.059    0.000    0.0002   1.921e-08  a
net988                      1.80    0.112    0.900    0.50e-4  1.818e-08  a
net1037                     1.80    0.108    0.600    0.0001   1.751e-08  a
net879                      1.80    0.054    0.500    0.0001   1.749e-08  a
net10                       1.80    0.036    0.200    0.0002   1.749e-08  a
net1113                     1.80    0.052    0.300    0.0001   1.687e-08  a
net986                      1.80    0.069    0.000    0.0001   1.683e-08  a
net3                        1.80    0.052    0.600    0.0001   1.676e-08  a
net1035                     1.80    0.102    0.400    0.50e-4  1.651e-08  a
net209                      1.80    0.050    0.700    0.0001   1.635e-08  a
net4                        1.80    0.050    0.300    0.0001   1.634e-08  a
net1051                     1.80    0.092    0.400    0.50e-4  1.490e-08  a
net982                      1.80    0.059    0.000    0.0001   1.438e-08  a
net80                       1.80    0.086    0.700    0.50e-4  1.394e-08  a
net913                      1.80    0.086    0.900    0.50e-4  1.392e-08  a
net217                      1.80    0.056    0.500    0.0001   1.366e-08  a
net419                      1.80    0.055    0.000    0.0001   1.342e-08  a
net1046                     1.80    0.082    0.400    0.50e-4  1.321e-08  a
net894                      1.80    0.040    0.400    0.0002   1.294e-08  a
net885                      1.80    0.079    0.400    0.50e-4  1.279e-08  a
net990                      1.80    0.078    0.700    0.50e-4  1.269e-08  a
net872                      1.80    0.077    0.300    1.00e-4  1.248e-08  a
net1082                     1.80    0.038    0.300    0.0001   1.246e-08  a
net1                        1.80    0.025    0.500    0.0002   1.207e-08  a
net92                       1.80    0.075    0.800    0.50e-4  1.207e-08  a
net1047                     1.80    0.073    0.400    0.50e-4  1.189e-08  a
net106                      1.80    0.072    0.800    1.00e-4  1.172e-08  a
net906                      1.80    0.036    0.200    0.0002   1.165e-08  a
net989                      1.80    0.069    0.700    0.50e-4  1.118e-08  a
net878                      1.80    0.067    0.700    0.50e-4  1.083e-08  a
net1049                     1.80    0.066    0.400    0.50e-4  1.076e-08  a
net909                      1.80    0.033    0.700    0.0001   1.070e-08  a
net876                      1.80    0.065    0.700    1.00e-4  1.059e-08  a
net1050                     1.80    0.065    0.400    0.50e-4  1.052e-08  a
net900                      1.80    0.031    0.800    0.0001   1.012e-08  a
net1019                     1.80    0.061    0.700    0.50e-4  9.800e-09  a
net868                      1.80    0.030    0.400    0.0001   9.654e-09  a
net1007                     1.80    0.059    0.700    0.50e-4  9.489e-09  a
net317                      1.80    0.038    0.000    0.0001   9.197e-09  a
net21                       1.80    0.055    0.100    1.00e-4  8.946e-09  a
net8                        1.80    0.018    0.200    0.0002   8.873e-09  a
net1033                     1.80    0.027    0.300    0.0001   8.820e-09  a
net880                      1.80    0.054    0.600    0.50e-4  8.794e-09  a
net1072                     1.80    0.054    0.700    0.50e-4  8.696e-09  a
net104                      1.80    0.052    0.900    0.50e-4  8.477e-09  a
net1048                     1.80    0.051    0.400    0.50e-4  8.196e-09  a
net90                       1.80    0.050    0.400    0.50e-4  8.079e-09  a
net221                      1.80    0.050    0.700    0.50e-4  8.065e-09  a
net866                      1.80    0.050    0.900    0.50e-4  8.062e-09  a
net206                      1.80    0.016    0.500    0.0002   8.006e-09  a
