****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_1
Version: Q-2019.12-SP1
Date   : Wed Aug 28 12:17:03 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
--------------------------------------------------------------------------------
clknet_0_clk                1.80    0.216    0.261    0.0005   1.825e-07  a
clknet_4_0_0_clk            1.80    0.106    0.261    0.0005   8.954e-08  a
clknet_4_14_0_clk           1.80    0.101    0.261    0.0005   8.561e-08  a
clknet_4_2_0_clk            1.80    0.100    0.261    0.0005   8.479e-08  a
clknet_4_1_0_clk            1.80    0.073    0.261    0.0005   6.143e-08  a
clknet_4_7_0_clk            1.80    0.069    0.261    0.0005   5.789e-08  a
clknet_4_13_0_clk           1.80    0.068    0.261    0.0005   5.751e-08  a
clknet_4_4_0_clk            1.80    0.067    0.261    0.0005   5.646e-08  a
clknet_4_12_0_clk           1.80    0.061    0.261    0.0005   5.113e-08  a
clknet_4_15_0_clk           1.80    0.060    0.261    0.0005   5.043e-08  a
clknet_4_9_0_clk            1.80    0.056    0.261    0.0005   4.719e-08  a
clknet_4_5_0_clk            1.80    0.056    0.261    0.0005   4.716e-08  a
clknet_4_11_0_clk           1.80    0.054    0.261    0.0005   4.539e-08  a
clknet_4_6_0_clk            1.80    0.047    0.261    0.0005   3.993e-08  a
net1035                     1.80    0.102    0.486    0.0002   3.929e-08  a
clknet_4_3_0_clk            1.80    0.043    0.261    0.0005   3.629e-08  a
net1039                     1.80    0.088    0.512    0.0002   3.370e-08  a
net1002                     1.80    0.126    0.580    0.0002   3.310e-08  a
clknet_4_8_0_clk            1.80    0.039    0.261    0.0005   3.286e-08  a
net908                      1.80    0.112    0.499    0.0002   3.093e-08  a
net889                      1.80    0.123    0.467    0.0001   2.991e-08  a
net1041                     1.80    0.128    0.475    0.0001   2.971e-08  a
net106                      1.80    0.072    0.792    0.0002   2.741e-08  a
net1042                     1.80    0.114    0.500    0.0001   2.698e-08  a
net1044                     1.80    0.149    0.488    0.0001   2.451e-08  a
net882                      1.80    0.135    0.490    0.0001   2.448e-08  a
net1045                     1.80    0.129    0.506    0.0001   2.344e-08  a
clknet_4_10_0_clk           1.80    0.027    0.261    0.0005   2.280e-08  a
net1034                     1.80    0.142    0.445    0.91e-4  2.113e-08  a
net876                      1.80    0.065    0.484    0.0002   2.108e-08  a
net1040                     1.80    0.053    0.512    0.0002   2.017e-08  a
net879                      1.80    0.054    0.502    0.0002   2.003e-08  a
net980                      1.80    0.084    0.431    0.0001   1.895e-08  a
net896                      1.80    0.118    0.481    0.96e-4  1.848e-08  a
net861                      1.80    0.049    0.494    0.0002   1.828e-08  a
net0                        1.80    0.045    0.549    0.0002   1.628e-08  a
net77                       1.80    0.060    0.580    0.0002   1.563e-08  a
net999                      1.80    0.063    0.520    0.0002   1.544e-08  a
net891                      1.80    0.063    0.500    0.0001   1.493e-08  a
net221                      1.80    0.050    0.717    0.0002   1.476e-08  a
net990                      1.80    0.078    0.834    0.0001   1.472e-08  a
net80                       1.80    0.086    0.849    0.0001   1.463e-08  a
net3                        1.80    0.052    0.462    0.0002   1.416e-08  a
net872                      1.80    0.077    0.506    0.0001   1.397e-08  a
net315                      1.80    0.059    0.447    0.0001   1.340e-08  a
net1037                     1.80    0.108    0.492    0.74e-4  1.313e-08  a
net1110                     1.80    0.050    0.580    0.0002   1.306e-08  a
net885                      1.80    0.079    0.488    0.0001   1.304e-08  a
net878                      1.80    0.067    0.541    0.0001   1.289e-08  a
net880                      1.80    0.054    0.498    0.0001   1.258e-08  a
net329                      1.80    0.074    0.000    0.0001   1.219e-08  a
net1019                     1.80    0.061    0.834    0.0001   1.166e-08  a
net209                      1.80    0.050    0.431    0.0001   1.144e-08  a
net918                      1.80    0.030    0.486    0.0002   1.137e-08  a
net208                      1.80    0.037    0.485    0.0002   1.134e-08  a
net989                      1.80    0.069    0.403    1.00e-4  1.118e-08  a
net1003                     1.80    0.117    0.858    0.56e-4  1.069e-08  a
net112                      1.80    0.059    0.168    0.0001   1.046e-08  a
net124                      1.80    0.055    0.498    0.0001   1.045e-08  a
net865                      1.80    0.070    0.445    0.91e-4  1.044e-08  a
net906                      1.80    0.036    0.501    0.0002   1.020e-08  a
net920                      1.80    0.029    0.532    0.0002   1.015e-08  a
net913                      1.80    0.086    0.564    0.72e-4  1.002e-08  a
net69                       1.80    0.106    0.065    0.58e-4  9.992e-09  a
net1072                     1.80    0.054    0.834    0.0001   9.653e-09  a
net884                      1.80    0.033    0.512    0.0002   9.427e-09  a
net1                        1.80    0.025    0.420    0.0002   9.416e-09  a
net1036                     1.80    0.024    0.486    0.0002   9.396e-09  a
net894                      1.80    0.040    0.475    0.0001   9.255e-09  a
net862                      1.80    0.022    0.492    0.0002   8.903e-09  a
net991                      1.80    0.047    0.834    0.0001   8.800e-09  a
net70                       1.80    0.046    0.834    0.0001   8.779e-09  a
net217                      1.80    0.056    0.358    0.96e-4  8.743e-09  a
net101                      1.80    0.021    0.381    0.0002   8.458e-09  a
net1114                     1.80    0.044    0.834    0.0001   8.304e-09  a
net893                      1.80    0.022    0.502    0.0002   8.066e-09  a
net85                       1.80    0.076    0.117    0.64e-4  7.902e-09  a
clknet_1_0__leaf_net946     1.80    0.063    0.144    0.76e-4  7.757e-09  a
net232                      1.80    0.038    0.616    0.0001   7.575e-09  a
net21                       1.80    0.055    0.103    0.82e-4  7.336e-09  a
net1007                     1.80    0.059    0.886    0.77e-4  7.306e-09  a
clknet_1_1__leaf_net946     1.80    0.059    0.144    0.76e-4  7.186e-09  a
net119                      1.80    0.072    0.164    0.60e-4  7.019e-09  a
net68                       1.80    0.064    0.117    0.64e-4  6.666e-09  a
net7                        1.80    0.064    0.899    0.63e-4  6.489e-09  a
net877                      1.80    0.018    0.517    0.0002   6.439e-09  a
net121                      1.80    0.021    0.302    0.0002   6.311e-09  a
net90                       1.80    0.050    0.846    0.76e-4  6.221e-09  a
net75                       1.80    0.026    0.709    0.0001   6.211e-09  a
net1079                     1.80    0.049    0.846    0.76e-4  6.067e-09  a
net875                      1.80    0.020    0.546    0.0002   6.030e-09  a
net94                       1.80    0.021    0.708    0.0002   5.997e-09  a
net128                      1.80    0.037    0.345    0.0001   5.979e-09  a
net20                       1.80    0.029    0.485    0.0001   5.789e-09  a
net200                      1.80    0.031    0.834    0.0001   5.786e-09  a
net74                       1.80    0.080    0.065    0.44e-4  5.718e-09  a
net1031                     1.80    0.071    0.941    0.50e-4  5.715e-09  a
net1038                     1.80    0.047    0.492    0.74e-4  5.689e-09  a
net6                        1.80    0.018    0.211    0.0002   5.661e-09  a
net4                        1.80    0.050    0.095    0.69e-4  5.638e-09  a
net996                      1.80    0.045    0.846    0.76e-4  5.631e-09  a
net1113                     1.80    0.052    0.117    0.64e-4  5.400e-09  a
net995                      1.80    0.085    0.000    0.38e-4  5.291e-09  a
net1085                     1.80    0.028    0.834    0.0001   5.247e-09  a
net228                      1.80    0.074    0.000    0.43e-4  5.202e-09  a
clknet_1_0__leaf_net959     1.80    0.058    0.000    0.55e-4  5.198e-09  a
net1018                     1.80    0.027    0.834    0.0001   5.184e-09  a
net1006                     1.80    0.041    0.886    0.77e-4  5.152e-09  a
clknet_1_1__leaf_net959     1.80    0.057    0.000    0.55e-4  5.094e-09  a
net994                      1.80    0.063    0.000    0.49e-4  5.015e-09  a
net897                      1.80    0.034    0.502    0.89e-4  4.995e-09  a
net1112                     1.80    0.040    0.886    0.77e-4  4.949e-09  a
net864                      1.80    0.012    0.517    0.0002   4.907e-09  a
net1080                     1.80    0.039    0.886    0.77e-4  4.860e-09  a
net117                      1.80    0.020    0.254    0.0002   4.803e-09  a
net203                      1.80    0.025    0.834    0.0001   4.601e-09  a
net95                       1.80    0.016    0.723    0.0002   4.566e-09  a
net870                      1.80    0.013    0.481    0.0002   4.556e-09  a
net105                      1.80    0.016    0.746    0.0002   4.547e-09  a
net79                       1.80    0.021    0.717    0.0001   4.528e-09  a
net998                      1.80    0.077    0.033    0.36e-4  4.490e-09  a
net2                        1.80    0.013    0.479    0.0002   4.422e-09  a
net10                       1.80    0.036    0.069    0.74e-4  4.315e-09  a
net204                      1.80    0.027    0.403    1.00e-4  4.309e-09  a
net1065                     1.80    0.015    0.723    0.0002   4.282e-09  a
